深圳市蜘蛛百讯科技有限公司	海外推广/SNS运营
深圳市亿科杰科技有限公司	运营专员
深圳诺彩实业有限公司	网络推广专员
深圳市天龙世纪科技发展有限公司	海外销售经理
深圳市玺丰睿科技有限公司	跟单员（双休）
深圳市易科森科技发展有限公司	亚马逊Amazon英文销售
深圳市影成科技有限公司	AMAZON推广专员
深圳四维高科技术有限公司	wish运营主管
深圳市海丰国际进出口有限公司	阿里国际站产品开发、爆款开发(饰品)
深圳市库贝尔生物科技股份有限公司...	外贸业务员/外贸专员/国际销售代表/国际销售专员
深圳市兆驰股份有限公司	TV-海外销售
深圳市韦普柯科技有限公司	韩语业务员（双休）
深圳市火技家居有限公司	Ebay运营
海纳百佳国际货运（深圳）有限公司...	国际物流业务员
深圳市君伟胜科技有限公司	电商平台业务员
深圳市东特塑胶制品有限公司	业务代表
深圳市欧恩半导体照明有限公司	SEO推广专员
深圳丰汇汽车电子有限公司	亚马逊销售
深圳市安达顺国际物流有限公司	空运客服经理
深圳市致远科技有限公司	阿里国际站运营（高薪+提供食宿）
深圳市创鑫海工艺品有限公司	日语业务员
旭日牙科器材（深圳）有限公司	英语翻译文员（应届毕业生）
深圳思科英达科技有限公司	亚马逊日本站运营
深圳市迈煌电子科技有限公司	英语客服
广州市驭邦贸易有限公司	西班牙语销售
深圳华众拓国际供应链有限公司	亚马逊运营助理
鑫荣懋集团股份有限公司	进口商务专员
卡登（深圳）电子商务有限公司	lazada运营专员
深圳市商瑞康光通迅有限公司	人事主管
深圳市港盛投资顾问有限公司	咨询顾问
深圳市百事特体育用品有限公司	业务主管
深圳市立刻飞技术有限公司	亚马逊运营专员
深圳市泛客思科技有限公司	坂田亚马逊英语销售
深圳智汇创想科技有限责任公司创客...	亚马逊美国站销售（精品）
深圳市康仁顺贸易有限公司	Wish平台运营 wish销售 销售专员
深圳聚优良品电子商务有限公司	亚马逊推广专员
深圳市宝视佳科技有限公司	带薪培训  速卖通运营/亚马逊运营/ 跨境电商运营
深圳市蓝禾照明有限公司	人事行政文员
深圳多思考电子商务有限公司	管培生（亚马逊运营）
深圳市理诚科技有限公司	电子类品检员/质检员/QC/QA/验货员
深圳悦创意文化产业有限公司	电商采购开发
深圳市斯派克光电科技有限公司	英文推广
深圳市联佑光电技术有限公司	业务实习生
深圳市普瑞鑫科技有限公司	亚马逊主管
深圳市天中天贸易有限公司	eBay平台业务员/eBay运营专员
深圳在岸港商务有限公司	市场推广
深圳市昭阳天下科技有限公司	亚马逊销售/日语/底薪6K+
深圳市中芯供应链有限公司	商务助理
深圳市中远达智能科技有限公司	阿里巴巴国际站运营
深圳市扬泽科技有限公司	跨境电商助理
深圳市麦购创新科技有限公司	采购经理
深圳市科比顿科技有限公司	Lazada运营
深圳奇尼思尔电子商务有限公司	（急聘）亚马逊销售助理/精品/应届生
深圳市易兴泰科技有限公司	海外业务员
深圳市迈高生物科技有限公司	单证员
深圳市瀚�N宇电子商务有限公司	供应商开发
深圳谱程未来科技有限公司	跨境电商产品开发（精品）
深圳市金流明光电技术有限公司	应届毕业生(双休)
深圳市晨凡电子商务有限公司	丹竹头地铁站B出口 销售 亚马逊
深圳市世纪瀛通科技有限公司	业务员 / 贸易销售 网络销售
深圳市奥睿拓科技有限公司	法语/意大利语  亚马逊运营（4k-12k）
广西怡凯家居用品有限公司	亚马逊运营专员
深圳市创新奇通讯有限公司	亚马逊运营主管
深圳市光网视科技有限公司	海外推广
深圳市微克科技有限公司	wish销售
深圳市福瑞斯礼品有限公司	销售代表（高薪+高提成）
深圳市信诚网络技术有限公司	wish销售/wish运营
深圳市蓝之海供应链管理有限公司	采购专员 采购员 五险一金
深圳盖亚拓扑网络技术有限公司	亚马逊运营助理
北京春水堂商业连锁有限公司	国外友人亚马逊运营
深圳百英汇科技有限公司	亚马逊销售
广州广策良成数码科技有限公司	Amazon亚马逊运营专员
深圳市顺光德科技有限公司	亚马逊运营专员
深圳市宝华中科技有限公司	亚马逊/速卖通物流专员
深圳市恒迅佳科技有限公司	仓库打包员
深圳市赛辉电子有限公司	运营专员
深圳市优米未科技有限公司	亚马逊精品开发
深圳市前沿智造科技有限公司	诚聘资深亚马逊运营专员（宝安区）
深圳天亿诚品科技有限公司	速卖通运营助理
深圳市丰润达科技有限公司	大区经理/北美/North America
深圳市景铄贸易有限公司	日语销售助理
深圳市鼎隆辉科技有限公司	采购
深圳市格乐德科技有限公司	速卖通运营/销售专员
深圳市戍百尔科技有限公司	财务/会计
深圳市爱遥控科技有限公司	亚马逊开发
深圳市路特电子商务有限公司	美国站销售（双休/高提成/地铁口附近）
深圳市垦鑫达通讯设备有限公司	海外销售
深圳市伟跃科技有限公司	Amazon亚马逊女装产品开发
深圳市奇辉石英电热制品有限公司	电商运营
深圳市普润天华企业管理有限公司	电商销售
深圳市诺顺达货运代理有限公司	业务跟单助理
深圳市网视无忧科技有限公司	产品开发（LED）
深圳市富德康电子有限公司	B2C运营业务员
深圳市澳伦堡科技有限公司	亚马逊销售/业务（西乡）（急聘）
深圳市喜德盛自行车股份有限公司	项目工程师
深圳市富智祥电子有限公司	销售助理
深圳市赛诺金动力科技有限公司	英语业务员
深圳市海力工业设备有限公司	商务采购/采购员/采购专员
深圳海云舟科技有限公司	Amazon亚马逊日本销售/亚马逊日本运营
深圳前海马茨科技有限公司	产品经理
深圳市米洛电气有限公司	网站运营主管（东莞）
深圳市万斯凯网络科技有限公司	亚马逊美国销售/运营
深圳市天创伟业科技有限公司	跟单员/跟单文员（轻松文职岗）
深圳市秀顺不干胶制品有限公司	跟单文员年薪5-15万
深圳麦维普斯电子科技有限公司	Ebay销售主管
深圳市麦极科技有限公司	亚马逊日语业务
深圳市艺科电子有限公司	日语业务员
泰钢合金（深圳）有限公司	日语跟单
深圳市威斯达照明有限公司	日语业务员
深圳市奥美迪贸易发展有限公司	外销客户经理
深圳市世纪环海贸易有限公司	船舶经纪
深圳非凡模型科技有限公司	阿里巴巴国际站业务员
深圳市迈普视通科技有限公司	西班牙语销售
深圳市羽西网络科技有限公司	亚马逊销售
深圳市亮彩科技有限公司	应届毕业生
深圳市睿德恒通贸易有限公司	速卖通运营主管  银牌店铺
深圳市恒力芯源电子科技有限公司	法语亚马逊销售
深圳美林联合国际货运代理有限公司...	俄语市场开发专员
广州聚焦网络技术有限公司深圳第二...	销售代表
广州市安创集运供应链有限公司	英语客服（5k-8k)
深圳市奥斯拓科技有限公司	急聘亚马逊运营销售美国站
深圳市巨能光电有限公司	产品开发
深圳俊恩包装制品有限公司	财务助理
深圳市西啡科技有限公司	高级业务跟单
深圳市中葛科技有限公司	优秀应届毕业生
深圳市爱培科技术股份有限公司	海外业务经理
深圳市神州行户外用品有限公司	速卖通运营
深圳傲威科技有限公司	日语销售/外贸业务员/Amazon日语销售/外贸电商运营
深圳市易道海纳科技有限公司	shopee销售/运营
深圳市天裕鑫科技有限公司	亚马逊销售/销售主管
深圳市源恒泰科技有限公司	运营专员
深圳市人和口腔技术有限公司	应届毕业生
深圳市杰仕博科技有限公司	英文跟单
深圳市卡斯时代贸易有限公司	速卖通客服 店长助理
深圳市中港大药房有限公司	亚马逊销售
深圳市正义网络技术有限公司	海外运营
金手指创新科技（深圳）有限公司	销售代表
方圆天下（深圳）科技有限公司	业务跟单/在线客服/在线销售
深圳市中冠智能电子科技有限公司	销售代表
广东吉荣空调有限公司	吉荣空调深圳分公司销售精英
环球资源（华南区）	销售代表（深圳总部）
深圳市嘉联兴科技有限公司	平面设计师
深圳市展名科技有限公司	亚马逊专员
深圳市鑫卡立方智能科技有限公司	采购主管
深圳天基权健康科技集团股份有限公...	海外市场专员
深圳市纳音科技有限公司	产品经理
深圳市立洋光电子股份有限公司	销售工程师-(海外)
彩迅工业（深圳）有限公司	电商运营专员
深圳市康冠技术有限公司	外销业务员（TV）
深圳裕兴诚科技有限公司	亚马逊产品经理
深圳市维希特科技有限公司	业务人员
深圳市卡兰士贸易有限公司	亚马逊运营/亚马逊运营专员/五险一金/5K+
深圳市意向互动科技有限公司	亚马逊销售主管
深圳市俱进纸品包装有限公司	平面包装设计师
深圳市铭华航电工艺技术有限公司	销售代表
深圳市泰世科技有限公司	美工
深圳市中工巨能科技有限公司	销售代表
深圳市强流明光电有限公司	海外销售
深圳市顺信达贸易有限公司	Joom运营专员
深圳市金五星电子有限公司	亚马逊销售运营
深圳市友基技术有限公司	海外仓储物流员
达邦制衣设计（深圳）有限公司	跟单助理
深圳市源锋兴业科技有限公司	急聘财务助理包吃包住
深圳市众创腾达科技有限公司	急聘敦煌/速卖通/业务/销售
深圳市光科照明有限公司	LED日语业务员
深圳市奥睿电子商务有限公司	产品开发专员
深圳市瑞隆源电子有限公司	亚马逊运营专员
深圳市蓝盾环保科技有限公司	阿里巴巴国际站运营
百令信息科技（上海）有限公司	供应商开发主管
金进科技（深圳）有限公司	英语翻译
富士康科技集团CNSBG事业群	物料专员
深圳市量能科技有限公司	外销跟单
深圳市金洋电子股份有限公司	高级业务跟单
深圳市诚丰乐琪科技有限公司	亚马逊运营专员
深圳市伟龙鑫工艺礼品有限公司	亚马逊销售（龙城广场地铁站C出口）
深圳市时创意电子有限公司	国内业务员
力顿钮扣配件（深圳）有限公司	市场开发专员
深圳市兴龙辉科技有限公司	亚马逊欧洲站运营
深圳市瑞德丰精密制造有限公司	业务跟单
深圳市源格林科技有限公司	会计专员（成本）
方博科技（深圳）有限公司	电子料采购
翔耀电子（深圳）有限公司	项目管理师
广东思格雷电子科技股份有限公司	市场推广专员（海外）
深圳市联创科技集团有限公司	储备干部--优才计划
深圳市鼎好纸制品包装有限公司	阿里巴巴国际站运营
东方电子科技（国际）有限公司	英语业务员
河南科隆新能源股份有限公司	文员助理
阿里巴巴集团	国际事业部-资深客户经理-宝安
深圳市中京科林环保塑料技术有限公...	英语翻译
深圳市双月科技有限公司	速卖通运营组长/主管/销售专员
杰伟尼技术（深圳）有限公司	海外销售（稳定底薪+高提成）
元田科技（深圳）有限公司	8K亚马逊运营--英语
深圳市慧明眼镜有限公司	应届毕业生
